destLog

5 seconds
MACaddress,IPaddress,Len
1-0-5E-7F-FF-FA,239-255-255-250,5396
18-1D-EA-D7-1A-E,224-0-0-251,1328
FF-FF-FF-FF-FF-FF,192-168-1-255,1328

5 seconds
MACaddress,IPaddress,Len
1-0-5E-7F-FF-FA,239-255-255-250,10093
0-CF-C0-19-FD-F8,192-168-1-1,315
18-1D-EA-D7-1A-E,192-168-1-3,520
18-1D-EA-D7-1A-E,224-0-0-251,1328
FF-FF-FF-FF-FF-FF,192-168-1-255,1328

5 seconds
MACaddress,IPaddress,Len
18-1D-EA-D7-1A-E,192-168-1-3,210
0-CF-C0-19-FD-F8,183-232-93-29,81
1-0-5E-7F-FF-FA,239-255-255-250,10792
FF-FF-FF-FF-FF-FF,192-168-1-255,1328
18-1D-EA-D7-1A-E,224-0-0-251,1328
FF-FF-FF-FF-FF-FF,255-255-255-255,47
0-CF-C0-19-FD-F8,192-168-1-1,301

5 seconds
MACaddress,IPaddress,Len
0-CF-C0-19-FD-F8,192-168-1-1,1210
18-1D-EA-D7-1A-E,192-168-1-3,750
18-1D-EA-D7-1A-E,224-0-0-251,2656
FF-FF-FF-FF-FF-FF,192-168-1-255,2656
1-0-5E-7F-FF-FA,239-255-255-250,4608

5 seconds
MACaddress,IPaddress,Len
1-0-5E-7F-FF-FA,239-255-255-250,9659
0-CF-C0-19-FD-F8,192-168-1-1,1591
18-1D-EA-D7-1A-E,192-168-1-3,508
18-1D-EA-D7-1A-E,224-0-0-251,1328
FF-FF-FF-FF-FF-FF,192-168-1-255,1328

5 seconds
MACaddress,IPaddress,Len
0-CF-C0-19-FD-F8,192-168-1-1,1232
18-1D-EA-D7-1A-E,192-168-1-3,762
1-0-5E-7F-FF-FA,239-255-255-250,10004
18-1D-EA-D7-1A-E,224-0-0-251,1328
FF-FF-FF-FF-FF-FF,192-168-1-255,1328

5 seconds
MACaddress,IPaddress,Len
18-1D-EA-D7-1A-E,192-168-1-3,242
0-CF-C0-19-FD-F8,192-168-1-1,330
18-1D-EA-D7-1A-E,224-0-0-251,1419
FF-FF-FF-FF-FF-FF,192-168-1-255,1958
1-0-5E-7F-FF-FA,239-255-255-250,4983
