srcLog

5 seconds
MACaddress,IPaddress,Len
AC-35-EE-89-ED-5,192-168-1-14,8052

5 seconds
MACaddress,IPaddress,Len
AC-35-EE-89-ED-5,192-168-1-14,12749
18-1D-EA-D7-1A-E,192-168-1-3,315
0-CF-C0-19-FD-F8,192-168-1-1,399
0-CF-C0-19-FD-F8,183-232-93-29,121

5 seconds
MACaddress,IPaddress,Len
0-CF-C0-19-FD-F8,192-168-1-1,0
18-1D-EA-D7-1A-E,192-168-1-3,382
0-CF-C0-19-FD-F8,183-232-93-29,210
AC-35-EE-89-ED-5,192-168-1-14,13448
2C-6E-85-A0-7A-1C,192-168-1-12,47

5 seconds
MACaddress,IPaddress,Len
18-1D-EA-D7-1A-E,192-168-1-3,1210
0-CF-C0-19-FD-F8,192-168-1-1,266
AC-35-EE-89-ED-5,192-168-1-14,9920
0-CF-C0-19-FD-F8,183-232-93-29,484

5 seconds
MACaddress,IPaddress,Len
AC-35-EE-89-ED-5,192-168-1-14,12315
18-1D-EA-D7-1A-E,192-168-1-3,1591
0-CF-C0-19-FD-F8,192-168-1-1,266
0-CF-C0-19-FD-F8,183-232-93-29,242

5 seconds
MACaddress,IPaddress,Len
18-1D-EA-D7-1A-E,192-168-1-3,1232
0-CF-C0-19-FD-F8,192-168-1-1,399
0-CF-C0-19-FD-F8,183-232-93-29,363
AC-35-EE-89-ED-5,192-168-1-14,12660

5 seconds
MACaddress,IPaddress,Len
0-CF-C0-19-FD-F8,183-232-93-29,242
18-1D-EA-D7-1A-E,192-168-1-3,330
AC-35-EE-89-ED-5,192-168-1-14,8360
